"num" "sf" "shift" "freq" "LM" "MW" "C" "N" "P" "O" "cansmi" "envlab" "ref" "rho_vac" "rho_chcl3" "rho_dmso" "rho_h2o" "rho_tol" "rho_acn" "rho_kt3" "rho_r2s" "delta_vac" "delta_chcl3" "delta_dmso" "delta_h2o" "delta_tol" "delta_acn" "delta_kt3" "delta_r2s" "delta_ens_bol" "delta_ens_min" "delta_ens_max"
"49" "Lan1-CMP101" "C3H7O3P" 2.4 NA "CDCl3" 122.059641 3 0 1 3 "O=P1OCCCO1" "H1O2O1O1" "Maffei, M., Bouono, G.: Tetrahedron 59 (2003) 8821." 271.21 267.444 266.725 266.805 268.388 266.746 312.655 339.425 -7.77699999999999 -5.09700000000004 -4.54700000000003 -4.66000000000003 -5.76499999999999 -4.56199999999995 -6.06999999999999 3.21999999999997 -9.63114128111801 -13.844787 -6.14990399999999
"50" "Lan1-CMP102" "C3H9BBr2O2PS" 81.51 NA "CDCl3" 310.760121 3 0 1 2 "Br[B-]1(Br)O[P+](S1)(C)OCC" "C1S1O1O1" "Lewkowski, J., Mortier, J., Vaultier, M.: Phosphorus, Sulfur Silicon Relat. Elem. 162 (2000) 1." NA NA NA NA NA NA 232.797 264.461 NA NA NA NA NA NA 73.788 78.184 NA NA NA
"51" "Lan1-CMP103" "C3H8ClO2P" 40.7 NA "CDCl3" 142.521181 3 0 1 2 "CCOP(=O)(Cl)C" "O1Cl1O2C1" "Pienaar, A., Modro, A.M., Modro, T.A.: Heteroatom Chem. 7 (1996) 177." 221.233 211.079 208.304 208.585 214.07 208.576 270.009 298.574 42.2 51.268 53.874 53.56 48.553 53.608 36.576 44.071 41.5086857028531 29.251282 42.337737
"52" "Lan1-CMP104" "C3H8ClO2P" 39.5 NA "CDCl3" 142.521181 3 0 1 2 "CCOP(=O)(Cl)C" "O1Cl1O2C1" "Purnanand, Shakya, P.D., Saxena, S., Sharma, M., Lal, B.: Phosphorus, Sulfur Silicon Relat. Elem. 177 (2002) 1093." 232.129 215.906 210.802 210.824 220.989 210.986 280.529 309.449 31.304 46.441 51.376 51.321 41.634 51.198 26.056 33.196 42.1348489403064 29.249586 42.331861
"53" "Lan1-CMP105" "C4H10ClO3P" 25.5 NA "D2O" 172.547161 4 0 1 3 "CP(=O)(CC(CCl)O)O" "O1C1O2C1" "Nesterov, V.V., Kolodiazhnyi, O.I.: Tetrahedron 63 (2007) 6720." 219.926 214.69 211.691 211.739 216.481 211.817 266.341 295.407 43.507 47.657 50.487 50.406 46.142 50.367 40.244 47.238 42.6789133150149 22.908515 55.538192
"54" "Lan1-CMP106" "C3H9O2PS" 100.1 NA "CDCl3" 140.141121 3 0 1 2 "COP(=S)(OC)C" "O1S2O1C1" "Purnanand, Shakya, P.D., Saxena, S., Sharma, M., Lal, B.: Phosphorus, Sulfur Silicon Relat. Elem. 177 (2002) 1093." 155.11 152.91 152.041 152.062 151.421 152.069 211.627 243.65 108.323 109.437 110.137 110.083 111.202 110.115 94.958 98.995 106.681596514375 99.400789 107.520174
"55" "Lan1-CMP107" "C3H9O3P" 34.3 NA "CDCl3" 124.075521 3 0 1 3 "COP(=O)(OC)C" "O1O1C1O2" "Vu, A.P., Shaffer, F.A., Congiardo, L.K.B., Knight, D.A.: Phosphorus, Sulfur Silicon Relat. Elem. 185 (2010) 1845." 244.93 235.559 232.756 232.781 238.494 232.855 287.595 315.843 18.503 26.788 29.422 29.364 24.129 29.329 18.99 26.802 24.3174752040712 16.196575 25.409602
"56" "Lan1-CMP108" "C3H9O3P" 34.1 NA "CDCl3" 124.075521 3 0 1 3 "COP(=O)(OC)C" "O1O1C1O2" "Fakhraian, H., Mirzaei, A.: Phosphorus, Sulfur Silicon Relat. Elem. 181 (2006) 511." 244.93 235.559 232.756 232.781 238.494 232.855 287.615 315.871 18.503 26.788 29.422 29.364 24.129 29.329 18.97 26.774 24.3174752040712 16.196575 25.409602
"57" "Lan1-CMP109" "C3H9O3P" 39.76 NA "CDCl3" 124.075521 3 0 1 3 "OCP(CO)CO" "C1C1C1" "Kisanga, P., Verkade, J.: Heteroatom Chem. 12 (2001) 114." 305.952 304.649 304.583 304.625 304.913 304.59 356.222 394.409 -42.519 -42.302 -42.405 -42.48 -42.29 -42.4059999999999 -49.637 -51.764 -19.5403297434559 -53.306111 -8.85166300000003
"58" "Lan1-CMP111" "C3H9O3P" 33.9 NA NA 124.075521 3 0 1 3 "COP(=O)(OC)C" "C1O2O1O1" "Troev, K.: Heteroatom Chem. 11 (2000) 205." 238.566 232.405 230.461 230.477 234.394 230.53 281.314 309.586 24.867 29.942 31.717 31.668 28.229 31.654 25.271 33.059 24.5103235024161 16.298942 25.325571
